artist;id;name;degree
Ryan Castro (11815065);11815065;Ryan Castro;3
Juan Magan (176977);176977;Juan Magan;3
El Guincho (129923);129923;El Guincho;3
SVRCINA (7070913);7070913;SVRCINA;3
Tyler James Bellinger (15006663);15006663;Tyler James Bellinger;3
iRO (244345);244345;iRO;3
Aalias (8118059);8118059;Aalias;3
 (881638);881638;;3
 (5651252);5651252;;3
 (6758737);6758737;;3
 (2584831);2584831;;3
Christy McDonald (1104917);1104917;Christy McDonald;3
M-22 (6393902);6393902;M-22;3
Solamay (8876424);8876424;Solamay;3
Nius (4996223);4996223;Nius;3
soFLY (1690393);1690393;soFLY;3
Princess Chelsea (4571079);4571079;Princess Chelsea;3
HEYHEY (6573325);6573325;HEYHEY;3
Jeffrey Jey (4545021);4545021;Jeffrey Jey;3
Henri PFR (5296616);5296616;Henri PFR;3
Dansir (4857114);4857114;Dansir;3
The Void Pacific Choir (8876432);8876432;The Void Pacific Choir;3
Baby E (7957042);7957042;Baby E;3
B-Case (5095592);5095592;B-Case;3
Marc Scibilia (898584);898584;Marc Scibilia;3
Piso 21 (4038501);4038501;Piso 21;3
DISCIPLΞS (253118);253118;DISCIPLΞS;3
James Hype (8205210);8205210;James Hype;3
Winona Oak (14202985);14202985;Winona Oak;3
Alligatoah (1191410);1191410;Alligatoah;3
Harlœ (11021632);11021632;Harlœ;3
Nick Jonas (614386);614386;Nick Jonas;3
Georgia Ku (7907380);7907380;Georgia Ku;3
Paul van Dyk (4730);4730;Paul van Dyk;3
Nico Santos (409717);409717;Nico Santos;3
Ilsey (7766290);7766290;Ilsey;3
J.U.D.G.E. (6707575);6707575;J.U.D.G.E.;3
Jasmine Thompson (5021724);5021724;Jasmine Thompson;3
James Blunt (287);287;James Blunt;3
Tom Walker (5276754);5276754;Tom Walker;3
Erika Sirola (13612791);13612791;Erika Sirola;3
Francesco Yates (6574087);6574087;Francesco Yates;3
Wes (6745);6745;Wes;3
Israel Kamakawiwo'ole (256328);256328;Israel Kamakawiwo'ole;3
Mougleta (9143504);9143504;Mougleta;3
Lilly Wood And The Prick (307677);307677;Lilly Wood And The Prick;3
Dennis Lloyd (1678285);1678285;Dennis Lloyd;3
Oliver Tree (10799102);10799102;Oliver Tree;3
 (10109814);10109814;;3
EZ El Ezeta (7535810);7535810;EZ El Ezeta;3
Alex Gargola (10976680);10976680;Alex Gargola;3
Noriel (8310400);8310400;Noriel;3
Arcangel (14033495);14033495;Arcangel;3
Jadiel (244452);244452;Jadiel;3
Ricky Martin (2789);2789;Ricky Martin;3
Lil Geniuz (11775419);11775419;Lil Geniuz;3
Casper Magico (11569041);11569041;Casper Magico;3
Sinfonico (6136492);6136492;Sinfonico;3
Secreto "El Famoso Biberon" (2136631);2136631;Secreto "El Famoso Biberon";3
Bryant Myers (9945206);9945206;Bryant Myers;3
Nino Freestyle (14534647);14534647;Nino Freestyle;3
Ghetto (126900632);126900632;Ghetto;3
Jowell & Randy (265175);265175;Jowell & Randy;3
Pacho El Antifeka (9866032);9866032;Pacho El Antifeka;3
Secreto El Famoso Biberon (3271101);3271101;Secreto El Famoso Biberon;3
Jacob Forever (1533735);1533735;Jacob Forever;3
Lary Over (10149178);10149178;Lary Over;3
Carbon Fiber Music (81703832);81703832;Carbon Fiber Music;3
Sharo Towers (14718457);14718457;Sharo Towers;3
Rochy RD (14554749);14554749;Rochy RD;3
Don chezina (279665);279665;Don chezina;3
KVSH (8480288);8480288;KVSH;3
the otherz (7075175);7075175;the otherz;3
Dennis (115518322);115518322;Dennis;3
Ankhal (54946772);54946772;Ankhal;3
Dahian El Apechao (9946014);9946014;Dahian El Apechao;3
Maffio (2580381);2580381;Maffio;3
Luyanna (4543067);4543067;Luyanna;3
Tempo (151789272);151789272;Tempo;3
Ara Malikian (64974);64974;Ara Malikian;3
Dani Martin (460115);460115;Dani Martin;3
Coti (4478);4478;Coti;3
 (8647);8647;;3
 (5417614);5417614;;3
 (7747768);7747768;;3
 (243761);243761;;3
 (133272);133272;;3
 (160741);160741;;3
Carlos Vives (7343);7343;Carlos Vives;3
Rubén Blades (15796);15796;Rubén Blades;3
Camila (8844);8844;Camila;3
Río Roma (1104730);1104730;Río Roma;3
Leonel Garcia (649545);649545;Leonel Garcia;3
Diego Torres (4096);4096;Diego Torres;3
Chael Produciendo (8218390);8218390;Chael Produciendo;3
La Perversa (85418042);85418042;La Perversa;3
Amenazzy (11342468);11342468;Amenazzy;3
Milly (172051);172051;Milly;3
Christian Daniel (265343);265343;Christian Daniel;3
Ky-Mani Marley (119801);119801;Ky-Mani Marley;3
Camilo (58568762);58568762;Camilo;3
Sabrina Carpenter (1176900);1176900;Sabrina Carpenter;3
Enrique Iglesias (2792);2792;Enrique Iglesias;3
Omar Courtz (14534981);14534981;Omar Courtz;3
