artist;id;name;nb_fans;nb_album
Tai (371611);371611;Tai;4299;161
 (5305397);5305397;;0;0
 (260333);260333;;0;0
Jules Buckley (2407001);2407001;Jules Buckley;963;1
Pete Tong (401120);401120;Pete Tong;46760;46
Wilkinson (1052497);1052497;Wilkinson;71875;61
Shift K3Y (4516100);4516100;Shift K3Y;194592;52
MK (148517);148517;MK;42979;72
Meduza (1403694);1403694;Meduza;209587;35
House Gospel Choir (10668709);10668709;House Gospel Choir;1446;21
Roger Sanchez (3852);3852;Roger Sanchez;45873;13
Cian Ducrot (10432720);10432720;Cian Ducrot;1528;6
Alliel (9084662);9084662;Alliel;4720;4
Tom Grennan (9956746);9956746;Tom Grennan;55920;69
Ofenbach (6032634);6032634;Ofenbach;300191;41
Teezee (1080548);1080548;Teezee;160;21
Nicole Wray (493726);493726;Nicole Wray;480;4
GLC (15609);15609;GLC;291;11
Chip tha Ripper (408560);408560;Chip tha Ripper;584;70
St. Vincent (14630);14630;St. Vincent;72611;40
Cage (11587);11587;Cage;2692;39
Nigo (158528202);158528202;Nigo;2405;6
Billy Craven (4980217);4980217;Billy Craven;2;0
D'banj (303670);303670;D'banj;7384;50
Cyhi The Prynce (4495511);4495511;Cyhi The Prynce;5215;10
Raekwon (3886);3886;Raekwon;203203;14
Phoebe Bridgers (1058631);1058631;Phoebe Bridgers;38598;32
Cee-Lo (2777);2777;Cee-Lo;2484;8
Willow (70942);70942;Willow;675922;19
King Chip (4037134);4037134;King Chip;1409;15
Andre Benjamin (197078);197078;Andre Benjamin;102;0
Dot Da Genius (8323750);8323750;Dot Da Genius;48;2
Crookers (54619);54619;Crookers;123608;59
 (546473);546473;;0;0
 (6058);6058;;0;0
 (69627);69627;;0;0
 (5843387);5843387;;0;0
 (9961844);9961844;;0;0
 (6356948);6356948;;0;0
 (1324230);1324230;;0;0
 (10311522);10311522;;0;0
David Zowie (7887032);7887032;David Zowie;2175;11
Bonnie Calean (7804308);7804308;Bonnie Calean;0;0
Chicco Secci (485043);485043;Chicco Secci;833;20
Yin Yang Twins (5106637);5106637;Yin Yang Twins;79;0
Mutungi (105481992);105481992;Mutungi;0;0
Blush (113287);113287;Blush;5715;154
Bright Lights (482791);482791;Bright Lights;2618;43
PINK IS PUNK (554700);554700;PINK IS PUNK;131;20
Reech (1660289);1660289;Reech;942;79
Canova (5480069);5480069;Canova;3118;30
James Maslow (4764394);4764394;James Maslow;4566;24
Ligabue (64932);64932;Ligabue;307280;26
Heather Bright (4415020);4415020;Heather Bright;587;3
Rivaz (663082);663082;Rivaz;987;29
Channing (242927);242927;Channing;11;24
Raiche (10103984);10103984;Raiche;349;14
Vedo (353076);353076;Vedo;36928;30
Serj Tankian (16998);16998;Serj Tankian;371300;69
Christian Burns (1486750);1486750;Christian Burns;5266;42
Steve 'Miggedy' Maestro (7504344);7504344;Steve 'Miggedy' Maestro;2;2
Felix da Housecat (747);747;Felix da Housecat;28151;15
Dargen D'Amico (75680);75680;Dargen D'Amico;5377;26
Izi (4677848);4677848;Izi;41318;27
Frederick (140472);140472;Frederick;351;73
Lush & Simon (1598546);1598546;Lush & Simon;13747;39
David Bowie (997);997;David Bowie;1743415;148
Canguro English (87439902);87439902;Canguro English;23;0
BB Team (6815759);6815759;BB Team;16;3
domiNo (7549);7549;domiNo;5793;280
Achille Lauro (598070);598070;Achille Lauro;48088;31
Dardust (7010575);7010575;Dardust;1889;30
 (1626316);1626316;;0;0
 (1597019);1597019;;0;0
 (2514);2514;;0;0
 (4913073);4913073;;0;0
 (10537257);10537257;;0;0
 (5121167);5121167;;0;0
Kyle Reynolds (1520886);1520886;Kyle Reynolds;89;49
Sofi Tukker (7988922);7988922;Sofi Tukker;47534;109
Gary Go (188288);188288;Gary Go;5214;21
Chris Nasty (330881);330881;Chris Nasty;464;15
Anabel Englund (4864708);4864708;Anabel Englund;7027;32
Saint Wilder (92826882);92826882;Saint Wilder;5;0
Burak Yeter (343656);343656;Burak Yeter;44669;69
Public Enemy (3233);3233;Public Enemy;200205;30
The Biz (1036702);1036702;The Biz;3555;0
Dímelo Flow (12588946);12588946;Dímelo Flow;191534;32
Trapical (11940451);11940451;Trapical;46395;17
Marciano Cantero (1236039);1236039;Marciano Cantero;485;2
Jesse & Joy (67672);67672;Jesse & Joy;1130521;43
Skepta (432022);432022;Skepta;309226;42
Tokischa (48947801);48947801;Tokischa;15330;36
Lalo Ebratt (5526627);5526627;Lalo Ebratt;252064;47
Jeon (8401508);8401508;Jeon;1202;24
Trueno (1333264);1333264;Trueno;413459;32
Mae Muller (13432195);13432195;Mae Muller;3967;32
Polima WestCoast (13849327);13849327;Polima WestCoast;16034;59
Badshah (1093616);1093616;Badshah;62285;101
Jhay Cortez (13098657);13098657;Jhay Cortez;662573;39
Natan & Shander (10256642);10256642;Natan & Shander;9470;17
Totoy El Frio (9977062);9977062;Totoy El Frio;17268;48
Crissin (3674271);3674271;Crissin;18551;13
Sky (240427);240427;Sky;62289;7
ZAAC (8403196);8403196;ZAAC;367491;42
Selena Gomez (292185);292185;Selena Gomez;4857372;58
Ryan Castro (11815065);11815065;Ryan Castro;161072;64
Juan Magan (176977);176977;Juan Magan;597212;126
El Guincho (129923);129923;El Guincho;4735;15
SVRCINA (7070913);7070913;SVRCINA;3168;58
Tyler James Bellinger (15006663);15006663;Tyler James Bellinger;15;22
iRO (244345);244345;iRO;54455;9
Aalias (8118059);8118059;Aalias;21;2
 (881638);881638;;0;0
 (5651252);5651252;;0;0
 (6758737);6758737;;0;0
 (2584831);2584831;;0;0
Christy McDonald (1104917);1104917;Christy McDonald;56;2
M-22 (6393902);6393902;M-22;5758;29
Solamay (8876424);8876424;Solamay;19;0
Nius (4996223);4996223;Nius;91;3
soFLY (1690393);1690393;soFLY;1434;32
Princess Chelsea (4571079);4571079;Princess Chelsea;16521;19
HEYHEY (6573325);6573325;HEYHEY;4129;1
Jeffrey Jey (4545021);4545021;Jeffrey Jey;484;8
Henri PFR (5296616);5296616;Henri PFR;8697;39
Dansir (4857114);4857114;Dansir;79;5
The Void Pacific Choir (8876432);8876432;The Void Pacific Choir;390;13
Baby E (7957042);7957042;Baby E;231;38
B-Case (5095592);5095592;B-Case;810;9
Marc Scibilia (898584);898584;Marc Scibilia;1144;6
Piso 21 (4038501);4038501;Piso 21;2291867;57
DISCIPLΞS (253118);253118;DISCIPLΞS;96261;39
James Hype (8205210);8205210;James Hype;10248;34
Winona Oak (14202985);14202985;Winona Oak;4276;36
Alligatoah (1191410);1191410;Alligatoah;482191;34
Harlœ (11021632);11021632;Harlœ;115;26
Nick Jonas (614386);614386;Nick Jonas;1208399;30
Georgia Ku (7907380);7907380;Georgia Ku;1539;16
Paul van Dyk (4730);4730;Paul van Dyk;429805;134
Nico Santos (409717);409717;Nico Santos;134491;39
Ilsey (7766290);7766290;Ilsey;59;0
J.U.D.G.E. (6707575);6707575;J.U.D.G.E.;2258;1
Jasmine Thompson (5021724);5021724;Jasmine Thompson;150036;70
