source;target;song;id_song;id_source;name_source;id_target;name_target
Ashley McBryde (1389877);Tenille Townes (14539731);Fooled Around and Fell in Love (feat. Maren Morris, Elle King, Ashley McBryde, Tenille Townes & Caylee Hammack);747588352;1389877;Ashley McBryde;14539731;Tenille Townes
Ashley McBryde (1389877);Caylee Hammack (13895525);Fooled Around and Fell in Love (feat. Maren Morris, Elle King, Ashley McBryde, Tenille Townes & Caylee Hammack);747588352;1389877;Ashley McBryde;13895525;Caylee Hammack
Tenille Townes (14539731);Caylee Hammack (13895525);Fooled Around and Fell in Love (feat. Maren Morris, Elle King, Ashley McBryde, Tenille Townes & Caylee Hammack);747588352;14539731;Tenille Townes;13895525;Caylee Hammack
Jack Ingram (71442);Miranda Lambert (5057);The Wind's Just Gonna Blow;1358992602;71442;Jack Ingram;5057;Miranda Lambert
Jack Ingram (71442);Jon Randall (70188);The Wind's Just Gonna Blow;1358992602;71442;Jack Ingram;70188;Jon Randall
Miranda Lambert (5057);Jon Randall (70188);The Wind's Just Gonna Blow;1358992602;5057;Miranda Lambert;70188;Jon Randall
Jack Ingram (71442);Miranda Lambert (5057);Tin Man;1264787872;71442;Jack Ingram;5057;Miranda Lambert
Jack Ingram (71442);Jon Randall (70188);Tin Man;1264787872;71442;Jack Ingram;70188;Jon Randall
Miranda Lambert (5057);Jon Randall (70188);Tin Man;1264787872;5057;Miranda Lambert;70188;Jon Randall
Jack Ingram (71442);Miranda Lambert (5057);Am I Right or Amarillo;1358992612;71442;Jack Ingram;5057;Miranda Lambert
Jack Ingram (71442);Jon Randall (70188);Am I Right or Amarillo;1358992612;71442;Jack Ingram;70188;Jon Randall
Miranda Lambert (5057);Jon Randall (70188);Am I Right or Amarillo;1358992612;5057;Miranda Lambert;70188;Jon Randall
Jack Ingram (71442);Miranda Lambert (5057);Geraldene;1358992662;71442;Jack Ingram;5057;Miranda Lambert
Jack Ingram (71442);Jon Randall (70188);Geraldene;1358992662;71442;Jack Ingram;70188;Jon Randall
Miranda Lambert (5057);Jon Randall (70188);Geraldene;1358992662;5057;Miranda Lambert;70188;Jon Randall
Jack Ingram (71442);Miranda Lambert (5057);Homegrown Tomatoes;1358992632;71442;Jack Ingram;5057;Miranda Lambert
Jack Ingram (71442);Jon Randall (70188);Homegrown Tomatoes;1358992632;71442;Jack Ingram;70188;Jon Randall
Miranda Lambert (5057);Jon Randall (70188);Homegrown Tomatoes;1358992632;5057;Miranda Lambert;70188;Jon Randall
Miranda Lambert (5057);Little Big Town (7796);Smokin' and Drinkin' (feat. Little Big Town);78383556;5057;Miranda Lambert;7796;Little Big Town
Jack Ingram (71442);Miranda Lambert (5057);Tequila Does;1358992712;71442;Jack Ingram;5057;Miranda Lambert
Jack Ingram (71442);Jon Randall (70188);Tequila Does;1358992712;71442;Jack Ingram;70188;Jon Randall
Miranda Lambert (5057);Jon Randall (70188);Tequila Does;1358992712;5057;Miranda Lambert;70188;Jon Randall
Jack Ingram (71442);Miranda Lambert (5057);Breaking a Heart;1358992642;71442;Jack Ingram;5057;Miranda Lambert
Jack Ingram (71442);Jon Randall (70188);Breaking a Heart;1358992642;71442;Jack Ingram;70188;Jon Randall
Miranda Lambert (5057);Jon Randall (70188);Breaking a Heart;1358992642;5057;Miranda Lambert;70188;Jon Randall
Jack Ingram (71442);Miranda Lambert (5057);Ghost;1358992652;71442;Jack Ingram;5057;Miranda Lambert
Jack Ingram (71442);Jon Randall (70188);Ghost;1358992652;71442;Jack Ingram;70188;Jon Randall
Miranda Lambert (5057);Jon Randall (70188);Ghost;1358992652;5057;Miranda Lambert;70188;Jon Randall
Jack Ingram (71442);Miranda Lambert (5057);Waxahachie;1358992622;71442;Jack Ingram;5057;Miranda Lambert
Jack Ingram (71442);Jon Randall (70188);Waxahachie;1358992622;71442;Jack Ingram;70188;Jon Randall
Miranda Lambert (5057);Jon Randall (70188);Waxahachie;1358992622;5057;Miranda Lambert;70188;Jon Randall
Jack Ingram (71442);Miranda Lambert (5057);We'll Always Have the Blues;1358992672;71442;Jack Ingram;5057;Miranda Lambert
Jack Ingram (71442);Jon Randall (70188);We'll Always Have the Blues;1358992672;71442;Jack Ingram;70188;Jon Randall
Miranda Lambert (5057);Jon Randall (70188);We'll Always Have the Blues;1358992672;5057;Miranda Lambert;70188;Jon Randall
Jack Ingram (71442);Miranda Lambert (5057);Amazing Grace;1358992722;71442;Jack Ingram;5057;Miranda Lambert
Jack Ingram (71442);Jon Randall (70188);Amazing Grace;1358992722;71442;Jack Ingram;70188;Jon Randall
Miranda Lambert (5057);Jon Randall (70188);Amazing Grace;1358992722;5057;Miranda Lambert;70188;Jon Randall
The Chieftains (3332);Pistol Annies (1364566);Come All Ye Fair And Tender Ladies;16582932;3332;The Chieftains;1364566;Pistol Annies
Ronnie Wood (269832);THE JONES GANG (1140594);Had Me a Real Good Time (Live);1265210472;269832;Ronnie Wood;1140594;THE JONES GANG
Sam Brown (67687);THE JONES GANG (1140594);Tin Soldier (Live);1265210452;67687;Sam Brown;1140594;THE JONES GANG
Chris Farlowe (93285);Glen Matlock (712207);All or Nothing (Live);1265210492;93285;Chris Farlowe;712207;Glen Matlock
Chris Farlowe (93285);Mick Jones (202190);All or Nothing (Live);1265210492;93285;Chris Farlowe;202190;Mick Jones
Chris Farlowe (93285);THE JONES GANG (1140594);All or Nothing (Live);1265210492;93285;Chris Farlowe;1140594;THE JONES GANG
Glen Matlock (712207);Mick Jones (202190);All or Nothing (Live);1265210492;712207;Glen Matlock;202190;Mick Jones
Glen Matlock (712207);THE JONES GANG (1140594);All or Nothing (Live);1265210492;712207;Glen Matlock;1140594;THE JONES GANG
Mick Jones (202190);THE JONES GANG (1140594);All or Nothing (Live);1265210492;202190;Mick Jones;1140594;THE JONES GANG
Ronnie Wood (269832);THE JONES GANG (1140594);Stay with Me (Live);1265210482;269832;Ronnie Wood;1140594;THE JONES GANG
